Table S1. Essentiality classification for genes of the TL data,,,,,
Gene,Insertion Index Score,Log Likelihood Ratio,Essential,Non-essential,Unclear
ppiB,"0,060606061","-0,706912457",0,0,1
cysS,0,"-172,1619602",1,0,0
ybcI,"0,185823755","14,12592317",0,1,0
ybcJ,"0,169014085","12,50243576",0,1,0
folD,"0,017301038","-11,56617533",1,0,0
sfmA,"0,35359116","28,32490045",0,1,0
sfmC,"0,38961039","31,10139177",0,1,0
sfmD,"0,425115207","33,78261518",0,1,0
sfmH,"0,342479675","27,45513175",0,1,0
sfmF,"0,358527132","28,70915069",0,1,0
sfmZ,"0,22906793","18,0729118",0,1,0
intD,"0,23024055","18,17618719",0,1,0
xisD,"0,297297297","23,84136438",0,1,0
exoD,"0,222222222","17,4664758",0,1,0
peaD,"0,217948718","17,08474272",0,1,0
renD,"0,392156863","31,29541145",0,1,0
insE1,"0,316666667","25,40687167",0,1,0
insF1,"0,384083045","30,6792775",0,1,0
emrE,"0,483483483","38,09306985",0,1,0
ybcK,"0,080550098","2,356979627",0,0,1
ybcL,"0,483695652","38,108547",0,1,0
ybcM,"0,266917293","21,32774069",0,1,0
ylcH,"0,490196078","38,58212381",0,1,0
ybcN,"0,293859649","23,56068627",0,1,0
ninE,"0,239766082","19,00891412",0,1,0
ybcO,"0,209621993","16,33355349",0,1,0
rusA,"0,247933884","19,71459595",0,1,0
ylcG,"0,375886525","30,05078853",0,1,0
quuD,"0,419270833","33,34465689",0,1,0
nmpC,"0,388888889","31,04636829",0,1,0
insH1,"0,403146509","32,12957504",0,1,0
essD,"0,546296296","42,6238653",0,1,0
rrrD,"0,47188755","37,24520977",0,1,0
rzpD,"0,435064935","34,52535723",0,1,0
rzoD,"0,464480874","36,70157706",0,1,0
borD,"0,482993197","38,05729994",0,1,0
ybcV,"0,111922141","6,392157252",0,1,0
ybcW,"0,599033816","46,35914668",0,1,0
ylcI,"0,358974359","28,74390347",0,1,0
nohD,"0,19047619","14,56524303",0,1,0
aaaD,"0,220064725","17,27406797",0,1,0
tfaD,"0,214611872","16,78491374",0,1,0
ybcY,"0,359208524","28,76209569",0,1,0
tfaX,"0,50273224","39,49216465",0,1,0
appY,"0,065333333","0,070094975",0,0,1
ompT,"0,487421384","38,38012259",0,1,0
envY,"0,311023622","24,95347523",0,1,0
ybcH,"0,161616162","11,76790243",0,1,0
nfrA,"0,201816347","15,61990346",0,1,0
nfrB,"0,193476318","14,8464334",0,1,0
cusS,"0,165627166","12,16779396",0,1,0
cusR,"0,160818713","11,68791864",0,1,0
cusC,"0,355895197","28,5044209",0,1,0
cusF,"0,525525526","41,1364008",0,1,0
cusB,"0,229575163","18,11760617",0,1,0
cusA,"0,165394402","12,14469559",0,1,0
pheP,"0,185185185","14,06530527",0,1,0
ybdG,"0,499198718","39,23608012",0,1,0
nfsB,"0,233944954","18,50132369",0,1,0
ybdF,"0,165311653","12,13648083",0,1,0
ybdJ,"0,172690763","12,86270277",0,1,0
ybdK,"0,183199285","13,87628347",0,1,0
hokE,"0,326797386","26,21561218",0,1,0
insL1,"0,266846361","21,32177854",0,1,0
entD,"0,164251208","12,03105967",0,1,0
fepA,"0,18875502","14,40318689",0,1,0
fes,"0,133000831","8,7828751",0,1,0
ybdZ,"0,214611872","16,78491374",0,1,0
entF,"0,185986605","14,1413696",0,1,0
fepE,"0,299823633","24,04707041",0,1,0
fepC,"0,120098039","7,343114345",0,1,0
fepG,"0,128902316","8,332912257",0,1,0
fepD,"0,132338308","8,71057486",0,1,0
